bin center	omega	        hist_DD	        hist_DR	        hist_RR
31.875	      -0.000841	        1937218	        1920239	        1901660
32.125	       0.000685	        1939312	        1921681	        1905356
32.375	       0.001604	        1940864	        1919768	        1901722
32.625	       0.000122	        1943626	        1922520	        1901646
32.875	       0.001969	        1939236	        1922137	        1908796
33.125	       0.000482	        1939390	        1919583	        1900692
33.375	       0.000376	        1939134	        1920443	        1902468
33.625	       0.001771	        1937874	        1920616	        1906734
33.875	      -0.001183	        1934598	        1920336	        1903822
34.125	       0.002686	        1938124	        1919016	        1905024
34.375	       0.001613	        1935822	        1917131	        1901508
34.625	       0.002071	        1931094	        1915675	        1904200
34.875	       0.001664	        1926510	        1912621	        1901896
35.125	      -0.002816	        1919106	        1910687	        1896926
35.375	      -0.001770	        1916302	        1909383	        1899102
35.625	      -0.002397	        1917498	        1908299	        1894558
35.875	      -0.005248	        1912002	        1908729	        1895508
36.125	       0.000518	        1913062	        1903768	        1895456
36.375	      -0.004700	        1906524	        1902440	        1889476
36.625	      -0.004516	        1904362	        1899981	        1887078
36.875	      -0.002111	        1901808	        1895081	        1884376
37.125	      -0.004655	        1894364	        1892833	        1882538
37.375	      -0.001088	        1895040	        1889130	        1881174
37.625	      -0.001260	        1891288	        1884738	        1875824
37.875	      -0.002978	        1883328	        1881963	        1875014
38.125	       0.001106	        1887172	        1877224	        1869344
38.375	      -0.001204	        1881366	        1875043	        1866472
38.625	      -0.000098	        1874176	        1868979	        1863600
38.875	      -0.005003	        1870286	        1868419	        1857260
39.125	       0.001728	        1867242	        1859732	        1855428
39.375	      -0.002201	        1862656	        1859298	        1851864
39.625	       0.001806	        1863346	        1853713	        1847416
39.875	      -0.001421	        1856308	        1848779	        1838638
40.125	       0.004191	        1844462	        1839535	        1842330
40.375	       0.000710	        1846696	        1839209	        1833024
40.625	       0.002411	        1836934	        1831576	        1830632
40.875	       0.003170	        1835392	        1826579	        1823546
41.125	       0.001882	        1826860	        1820856	        1818274
41.375	       0.003269	        1821660	        1814781	        1813832
41.625	       0.000916	        1813012	        1810667	        1809980
41.875	      -0.000265	        1807496	        1804648	        1801322
42.125	      -0.004619	        1796138	        1800461	        1796486
42.375	      -0.002243	        1787828	        1792395	        1792940
42.625	      -0.001821	        1790736	        1790581	        1787172
42.875	      -0.006753	        1778570	        1783611	        1776654
43.125	      -0.003886	        1775078	        1776676	        1771390
43.375	      -0.004190	        1769868	        1770397	        1763536
43.625	      -0.002864	        1762634	        1763077	        1758484
43.875	      -0.003715	        1754028	        1755971	        1751408
44.125	      -0.002137	        1746568	        1748379	        1746458
44.375	      -0.000524	        1745208	        1741614	        1737110
44.625	      -0.001984	        1736394	        1735305	        1730782
44.875	      -0.001802	        1725318	        1726643	        1724860
45.125	      -0.002425	        1719952	        1719467	        1714824
45.375	       0.000589	        1714528	        1710171	        1706820
45.625	      -0.002235	        1700756	        1702669	        1700780
45.875	      -0.001543	        1692712	        1695122	        1694916
46.125	      -0.005200	        1686900	        1689136	        1682622
46.375	      -0.001586	        1675988	        1678974	        1679296
46.625	      -0.003488	        1666384	        1669620	        1667042
46.875	      -0.001866	        1661036	        1663226	        1662314
47.125	      -0.003336	        1645964	        1649811	        1648160
47.375	      -0.000937	        1635956	        1640209	        1642922
47.625	       0.000349	        1635534	        1633194	        1631424
47.875	       0.002632	        1627314	        1624480	        1625926
48.125	       0.001109	        1610812	        1614274	        1619532
48.375	      -0.001256	        1601330	        1604942	        1606536
48.625	       0.000288	        1593918	        1594784	        1596110
48.875	      -0.000741	        1579940	        1586498	        1591876
49.125	      -0.001185	        1571786	        1577322	        1580984
49.375	      -0.005359	        1558416	        1569078	        1571320
49.625	      -0.000594	        1552778	        1557752	        1561798
49.875	      -0.003795	        1545396	        1551913	        1552538
50.125	       0.004060	        1534488	        1536681	        1545148
50.375	      -0.001630	        1521244	        1528644	        1533544
50.625	      -0.001482	        1513474	        1519710	        1523688
50.875	      -0.000108	        1499736	        1507121	        1514342
51.125	      -0.002741	        1488638	        1498719	        1504676
51.375	      -0.000772	        1479866	        1486845	        1492672
51.625	      -0.001971	        1465604	        1476562	        1484594
51.875	      -0.004370	        1459684	        1470380	        1474632
52.125	      -0.003801	        1443804	        1455788	        1462214
52.375	      -0.002279	        1437702	        1445530	        1450054
52.625	      -0.000254	        1424076	        1432168	        1439894
52.875	      -0.004185	        1410266	        1424041	        1431824
53.125	       0.000132	        1398434	        1411470	        1424694
53.375	      -0.001546	        1393396	        1403476	        1411374
53.625	      -0.006136	        1380430	        1392861	        1396722
53.875	       0.003052	        1372372	        1379058	        1389986
54.125	      -0.002774	        1355922	        1371308	        1382858
54.375	      -0.002512	        1345030	        1358279	        1368092
54.625	      -0.001519	        1336536	        1347985	        1357372
54.875	      -0.001582	        1324306	        1337479	        1348518
55.125	       0.005906	        1317844	        1323607	        1337268
55.375	       0.006642	        1302734	        1312967	        1332048
55.625	       0.005438	        1288352	        1298885	        1316578
55.875	       0.005538	        1278116	        1287679	        1304466
56.125	       0.002355	        1261652	        1277227	        1295854
56.375	       0.000280	        1250842	        1267689	        1284896
56.625	      -0.001851	        1236234	        1255641	        1272692
56.875	      -0.003048	        1220460	        1242651	        1260998
57.125	      -0.002096	        1209848	        1231851	        1251232
57.375	      -0.011480	        1190612	        1221562	        1238296
57.625	      -0.005920	        1184242	        1210982	        1230438
57.875	      -0.011971	        1169854	        1200079	        1215750
58.125	      -0.001523	        1162896	        1186355	        1207974
58.375	      -0.000321	        1155370	        1175414	        1195074
58.625	       0.003609	        1145620	        1162206	        1183062
58.875	       0.001049	        1132904	        1152907	        1174142
